GID_2,exercise_year,exercise_label,phase_class,population,ndvi_mean_6m,rainfall_sum_6m,lst_mean_6m,nightlight_mean_6m,ndvi_mean_3m,rainfall_sum_3m,conflict_events_6m,conflict_fatalities_6m,state,lga
NGA.21.22_1,2025,Sep-Dec,3.0,200504.283817321,0.3006744617508787,683.6008623331264,33.70854073124283,0.348656114370586,0.3977983286548908,658.6177638776292,0,0,Katsina,Kurfi
NGA.21.23_1,2025,Sep-Dec,2.0,168973.310765132,0.3121125982069466,645.686756319578,33.01188404411909,0.3292529775768023,0.4221734326712927,616.6500202527426,0,0,Katsina,Kusada
NGA.21.24_1,2025,Sep-Dec,3.0,346716.854988626,0.2866284344198399,529.7293322077237,34.667662623256724,0.459253846119239,0.3713490887790785,516.9371503005862,0,0,Katsina,Mai'Adua
NGA.21.25_1,2025,Sep-Dec,3.0,314229.069413424,0.3646780720450573,720.579369734023,31.913030275784937,0.3495213384037056,0.5195917933380042,668.2846724577868,2,52,Katsina,Malumfashi
NGA.21.26_1,2025,Sep-Dec,3.0,302906.239888513,0.2816567006827781,586.6558921495551,33.825507743189924,0.3774583511226523,0.3777730196155481,568.8510733256516,0,0,Katsina,Mani
NGA.21.27_1,2025,Sep-Dec,3.0,293918.997404313,0.275133045781032,555.8053241808377,34.17438247253063,0.3647009041832039,0.3577391307531379,541.4582765226003,0,0,Katsina,Mashi
NGA.21.28_1,2025,Sep-Dec,2.0,195545.956378477,0.3516203620648429,747.3994850065154,32.50907362079635,0.3363821457819825,0.4837190449780248,714.726817159527,0,0,Katsina,Matazu
NGA.21.29_1,2025,Sep-Dec,2.0,292090.860762405,0.3367460209977357,746.0361886814667,32.512754800196326,0.3385521610306961,0.4629631625393419,705.6716036485525,0,0,Katsina,Musawa
NGA.21.2_1,2025,Sep-Dec,3.0,324826.343508513,0.2850902076335659,621.0147573758625,33.59512753737888,0.6512718527611964,0.3858369765739386,603.4541528504935,0,0,Katsina,Batagarawa
NGA.21.30_1,2025,Sep-Dec,3.0,264748.81951199804,0.2738555693020909,627.3310870786208,33.31886582038409,0.4089714028073268,0.3700536844304642,608.9505486453246,0,0,Katsina,Rimi
NGA.21.31_1,2025,Sep-Dec,2.0,241703.118571111,0.3580431840221657,712.0715926559783,30.85534325985347,0.3527847062696057,0.4858600725390594,622.7317011573856,0,0,Katsina,Sabuwa
NGA.21.32_1,2025,Sep-Dec,3.0,318207.56822045404,0.3951808315874477,715.2095905895865,33.53775969852476,0.3379694151870929,0.5276280254645186,681.4949315353772,0,0,Katsina,Safana
NGA.21.33_1,2025,Sep-Dec,3.0,235286.008236356,0.2863568920928713,588.6077279819059,34.07649222032091,0.3588531462093359,0.3770260226485372,571.4525584112565,0,0,Katsina,Sandamu
NGA.21.34_1,2025,Sep-Dec,3.0,268115.74742803,0.3078367486518288,551.7284291720687,34.61227368582869,0.3491283858032815,0.4070401359001394,536.7714371950693,0,0,Katsina,Zango
NGA.21.3_1,2025,Sep-Dec,3.0,357153.016322108,0.3269111161330731,651.2910652367467,34.16430643045363,0.3416926109933156,0.4319012108464892,625.886191725215,0,0,Katsina,Batsari
NGA.21.4_1,2025,Sep-Dec,3.0,348676.512252254,0.2997540420041412,505.7439346838806,35.18476512331479,0.3246811575179026,0.3799180039477185,491.8239532635475,0,0,Katsina,Baure
NGA.21.5_1,2025,Sep-Dec,3.0,259439.77041523403,0.3190648506554852,607.0277423773771,33.43131637084636,0.3682186147920398,0.4451437816257069,587.6515361544443,0,0,Katsina,Bindawa
NGA.21.6_1,2025,Sep-Dec,3.0,235363.824604207,0.2976755739867634,674.2423440096844,32.9938376371006,0.3401372530358409,0.4040198987106381,648.6547946268494,0,0,Katsina,Charanchi
NGA.21.7_1,2025,Sep-Dec,2.0,249682.036288791,0.3530016130330565,716.9201092214266,31.510091946835985,0.3770145835832536,0.5054026710968802,637.802740730525,0,0,Katsina,Dandume
